,pc_100,pc_100,pc_100,pc_100,pc_100,pc_90,pc_90,pc_90,pc_90,pc_90,pc_80,pc_80,pc_80,pc_80,pc_80,pc_70,pc_70,pc_70,pc_70,pc_70,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history
,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion
160,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
161,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
162,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
163,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
164,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
165,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
166,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
167,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
168,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
169,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
170,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
171,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
172,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
173,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
174,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
175,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
176,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
177,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
178,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
179,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
180,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,5800,0,0,0,0,5800,0,0,0,0
181,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
182,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
183,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
184,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
185,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1,5800,0,0,0,0,5800,0,0,0,0
